"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"FM4","fiducial_10","247.5mm","213.5mm","247.5mm","213.5mm","247.5mm","213.5mm","T","0.00",""
"FM3","fiducial_10","194mm","284.9mm","194mm","284.9mm","194mm","284.9mm","T","0.00",""
"FM2","fiducial_10","308.5mm","95.5mm","308.5mm","95.5mm","308.5mm","95.5mm","T","0.00",""
"FM1","fiducial_10","194mm","95.5mm","194mm","95.5mm","194mm","95.5mm","T","0.00",""
"X3_Ch_U3","HOLE_1.4x2","294mm","270.5mm","294mm","270.5mm","294mm","270.5mm","T","360.00","Single_Hole"
"X3_Ch_U2","HOLE_1.4x2","278mm","270.5mm","278mm","270.5mm","278mm","270.5mm","T","360.00","Single_Hole"
"R41_Ch_U3","RES_0805","293.4mm","247.5mm","293.4mm","247.5mm","293.4mm","248.5mm","T","270.00","1M"
"R41_Ch_U2","RES_0805","277.4mm","247.5mm","277.4mm","247.5mm","277.4mm","248.5mm","T","270.00","1M"
"R40_Ch_U3","RES_0805","285.6mm","252.2mm","285.6mm","252.2mm","284.6mm","252.2mm","T","360.00","39K"
"R40_Ch_U2","RES_0805","269.6mm","252.2mm","269.6mm","252.2mm","268.6mm","252.2mm","T","360.00","39K"
"R39_Ch_U3","RES_0805","289.1mm","252.2mm","289.1mm","252.2mm","290.1mm","252.2mm","T","180.00","47K"
"R39_Ch_U2","RES_0805","273.1mm","252.2mm","273.1mm","252.2mm","274.1mm","252.2mm","T","180.00","47K"
"R35_Ch_U3","RES_0805","289mm","264mm","289mm","264mm","290mm","264mm","T","180.00","15k"
"R35_Ch_U2","RES_0805","273mm","264mm","273mm","264mm","274mm","264mm","T","180.00","15k"
"R34_Ch_U3","RES_0805","285.5mm","264mm","285.5mm","264mm","284.5mm","264mm","T","360.00","3M2"
"R34_Ch_U2","RES_0805","269.5mm","264mm","269.5mm","264mm","268.5mm","264mm","T","360.00","3M2"
"DA9_Ch_U3","MCP4011","286.58mm","256.195mm","286.6mm","256.2mm","288.7mm","255.22mm","T","90.00","MCP4011"
"DA9_Ch_U2","MCP4011","270.58mm","256.195mm","270.6mm","256.2mm","272.7mm","255.22mm","T","90.00","MCP4011"
"DA7_Ch_U3","SC70","293.5mm","251.4mm","293.5mm","251.4mm","294.15mm","252.3mm","T","180.00","AD8500"
"DA7_Ch_U2","SC70","277.5mm","251.4mm","277.5mm","251.4mm","278.15mm","252.3mm","T","180.00","AD8500"
"DA6_Ch_U3","SC70","291.2mm","255.9mm","291.2mm","255.9mm","292.1mm","255.25mm","T","90.00","AD8500"
"DA6_Ch_U2","SC70","275.2mm","255.9mm","275.2mm","255.9mm","276.1mm","255.25mm","T","90.00","AD8500"
"DA5_Ch_U3","SC70","286mm","260.4mm","286mm","260.4mm","286.9mm","259.75mm","T","90.00","AD8500"
"DA5_Ch_U2","SC70","270mm","260.4mm","270mm","260.4mm","270.9mm","259.75mm","T","90.00","AD8500"
"C38_Ch_U3","CAP_CER_6.0","287.5mm","249.3mm","287.5mm","249.3mm","284.5mm","249.3mm","T","360.00","22nF"
"C38_Ch_U2","CAP_CER_6.0","271.5mm","249.3mm","271.5mm","249.3mm","268.5mm","249.3mm","T","360.00","22nF"
"C37_Ch_U3","CAP_CER_6.0","287.5mm","245.5mm","287.5mm","245.5mm","284.5mm","245.5mm","T","360.00","22nF"
"C37_Ch_U2","CAP_CER_6.0","271.5mm","245.5mm","271.5mm","245.5mm","268.5mm","245.5mm","T","360.00","22nF"
"C36_Ch_U3","CAP_TYPE_B","292mm","259.7mm","292mm","259.7mm","293.7mm","259.7mm","T","180.00","10uF x 16V"
"C36_Ch_U2","CAP_TYPE_B","276mm","259.7mm","276mm","259.7mm","277.7mm","259.7mm","T","180.00","10uF x 16V"
"C35_Ch_U3","CAP_CER_6.0","287.5mm","266.9mm","287.5mm","266.9mm","284.5mm","266.9mm","T","360.00","4.7nF"
"C35_Ch_U2","CAP_CER_6.0","271.5mm","266.9mm","271.5mm","266.9mm","268.5mm","266.9mm","T","360.00","4.7nF"
"C34_Ch_U3","CAP_CER_6.0","287.5mm","270.5mm","287.5mm","270.5mm","284.5mm","270.5mm","T","360.00","10nF"
"C34_Ch_U2","CAP_CER_6.0","271.5mm","270.5mm","271.5mm","270.5mm","268.5mm","270.5mm","T","360.00","10nF"
"XP4","PLD-10","286.81mm","284.37mm","291.89mm","285.64mm","291.89mm","285.64mm","T","180.00","Header 5X2"
"DA8","SOT-23-6","245.3855mm","208.7258mm","245.3855mm","208.7258mm","246.7355mm","207.7758mm","T","90.00","TMP121"
"C32","CAP_0805","248.8855mm","208.7258mm","248.8855mm","208.7258mm","248.8855mm","207.7258mm","T","90.00","0.15uF"
"R41_Ch_U1","RES_0805","261.4mm","247.5mm","261.4mm","247.5mm","261.4mm","248.5mm","T","270.00","1M"
"R40_Ch_U1","RES_0805","253.6mm","252.2mm","253.6mm","252.2mm","252.6mm","252.2mm","T","360.00","39K"
"R39_Ch_U1","RES_0805","257.1mm","252.2mm","257.1mm","252.2mm","258.1mm","252.2mm","T","180.00","47K"
"R34_Ch_U1","RES_0805","253.5mm","264mm","253.5mm","264mm","252.5mm","264mm","T","360.00","3M2"
"R35_Ch_U1","RES_0805","257mm","264mm","257mm","264mm","258mm","264mm","T","180.00","15k"
"DA7_Ch_U1","SC70","261.5mm","251.4mm","261.5mm","251.4mm","262.15mm","252.3mm","T","180.00","AD8500"
"DA6_Ch_U1","SC70","259.2mm","255.9mm","259.2mm","255.9mm","260.1mm","255.25mm","T","90.00","AD8500"
"C38_Ch_U1","CAP_CER_6.0","255.5mm","249.3mm","255.5mm","249.3mm","252.5mm","249.3mm","T","360.00","22nF"
"C37_Ch_U1","CAP_CER_6.0","255.5mm","245.5mm","255.5mm","245.5mm","252.5mm","245.5mm","T","360.00","22nF"
"C35_Ch_U1","CAP_CER_6.0","255.5mm","266.9mm","255.5mm","266.9mm","252.5mm","266.9mm","T","360.00","4.7nF"
"C34_Ch_U1","CAP_CER_6.0","255.5mm","270.5mm","255.5mm","270.5mm","252.5mm","270.5mm","T","360.00","10nF"
"DA5_Ch_U1","SC70","254mm","260.4mm","254mm","260.4mm","254.9mm","259.75mm","T","90.00","AD8500"
"X3_Ch_U1","HOLE_1.4x2","262mm","270.5mm","262mm","270.5mm","262mm","270.5mm","T","360.00","Single_Hole"
"X4_Ch_U1","PAD_1.4x4","265mm","264mm","265mm","264mm","265mm","264mm","B","270.00","Single_Hole"
"X4_Ch_U3","PAD_1.4x4","297mm","264mm","297mm","264mm","297mm","264mm","B","270.00","Single_Hole"
"X4_Ch_U2","PAD_1.4x4","281mm","264mm","281mm","264mm","281mm","264mm","B","270.00","Single_Hole"
"X2_Ch_I1","HOLE_1.4x2","202.75mm","268mm","202.75mm","268mm","202.75mm","268mm","T","90.00","Single_Hole"
"X1_Ch_I1","HOLE_1.4x2","209.75mm","268mm","209.75mm","268mm","209.75mm","268mm","T","90.00","Single_Hole"
"C1","CAP_0805","211.98mm","214.5mm","211.98mm","214.5mm","212.98mm","214.5mm","T","180.00","0.15uF"
"C2","CAP_TYPE_B","217.3mm","233.5mm","217.3mm","233.5mm","217.3mm","231.8mm","T","90.00","10uF x 16V"
"C3","CAP_0805","220.7mm","232.6mm","220.7mm","232.6mm","220.7mm","233.6mm","T","270.00","0.15uF"
"C7","CAP_TYPE_B","229.5mm","233.5mm","229.5mm","233.5mm","229.5mm","231.8mm","T","90.00","10uF x 16V"
"C12","CAP_0805","226.1mm","232.6mm","226.1mm","232.6mm","226.1mm","233.6mm","T","270.00","0.15uF"
"C13","CAP_0805","257.2mm","230.75mm","257.2mm","230.75mm","257.2mm","229.75mm","T","90.00","0.15uF"
"C15","CAP_0805","258mm","226.8mm","258mm","226.8mm","257mm","226.8mm","T","360.00","0.15uF"
"C16","CAP_TYPE_B","253.3mm","226.8mm","253.3mm","226.8mm","251.6mm","226.8mm","T","0.00","10uF x 16V"
"C17","CAP_0805","287.5mm","160.81mm","287.5mm","160.81mm","287.5mm","159.81mm","T","90.00","10pF"
"C18","CAP_0805","240.7mm","229.6mm","240.7mm","229.6mm","239.7mm","229.6mm","T","0.00","0.15uF"
"C19","CAP_0805","231.7mm","221mm","231.7mm","221mm","231.7mm","220mm","T","90.00","0.15uF"
"C20","CAP_0805","253.4mm","235.25mm","253.4mm","235.25mm","252.4mm","235.25mm","T","360.00","0.1uF"
"C21","CAP_0805","241.35mm","209.1mm","241.35mm","209.1mm","242.35mm","209.1mm","T","180.00","0.15uF"
"C22","CAP_0805","228mm","216.6mm","228mm","216.6mm","228mm","217.6mm","T","270.00","15pF"
"C23","CAP_0805","291mm","151.7505mm","291mm","151.7505mm","291mm","150.7505mm","T","90.00","0.1uF"
"C24","CAP_0805","228mm","221mm","228mm","221mm","228mm","220mm","T","90.00","15pF"
"C25","CAP_1206","260.4mm","235.25mm","260.4mm","235.25mm","261.8mm","235.25mm","T","180.00","1uF"
"C26","CAP_TYPE_C","307mm","234mm","307mm","234mm","309.8mm","234mm","T","180.00","47uF x 16V"
"C27","CAP_TYPE_C","307mm","240mm","307mm","240mm","309.8mm","240mm","T","180.00","47uF x 16V"
"C28","CAP_TYPE_C","307mm","246mm","307mm","246mm","309.8mm","246mm","T","180.00","47uF x 16V"
"C29_Ch_I1","CAP_CER_7.0","206.25mm","258mm","206.25mm","258mm","202.75mm","258mm","T","360.00","0.15uF"
"C31_Ch_I1","CAP_CER_14","206.25mm","252.5mm","206.25mm","252.5mm","199.25mm","252.5mm","T","360.00","1uF"
"DA2","SC70","223.2mm","232.5mm","223.2mm","232.5mm","223.85mm","233.6mm","T","180.00","TPS79730"
"DA3","TO-263","296.75mm","158mm","292mm","158mm","292mm","161.81mm","T","270.00","LM2679"
"DA4","SC70","256.55mm","234.35mm","256.55mm","234.35mm","257.2mm","235.25mm","T","180.00","AD8500"
"DD1","TQFP44x0.8","241mm","220mm","241mm","220mm","234.6mm","224mm","T","0.00","atmega644PA-AU"
"HL3","LED_3_blue","201mm","223mm","201mm","223mm","201mm","221.73mm","T","90.00","LED"
"HL4","LED_3_blue","197mm","223mm","197mm","223mm","197mm","221.73mm","T","90.00","LED"
"L1","IND_1812","254mm","221.3mm","254mm","221.3mm","254mm","219.3mm","T","90.00","10uH"
"L2","IND_SRR1208","269.925mm","156.725mm","269.925mm","156.725mm","269.925mm","150.725mm","T","90.00","22uH"
"R8","RES_0805","211.98mm","217mm","211.98mm","217mm","210.98mm","217mm","T","360.00","100"
"R9","RES_0805","211.98mm","219.5mm","211.98mm","219.5mm","212.98mm","219.5mm","T","180.00","10K"
"R10","RES_0805","201mm","228mm","201mm","228mm","201mm","229mm","T","270.00","200"
"R11","RES_0805","197mm","228mm","197mm","228mm","197mm","229mm","T","270.00","200"
"R12","RES_0805","193.9mm","200.2mm","193.9mm","200.2mm","194.9mm","200.2mm","T","180.00","1K"
"R13","RES_0805","251.6mm","230.75mm","251.6mm","230.75mm","251.6mm","229.75mm","T","90.00","1M"
"R14","RES_0805","254.4mm","230.75mm","254.4mm","230.75mm","254.4mm","229.75mm","T","90.00","1M"
"R15","RES_0805","286.6mm","151.75mm","286.6mm","151.75mm","286.6mm","150.75mm","T","90.00","18k"
"R16","RES_0805","286mm","156.7305mm","286mm","156.7305mm","285mm","156.7305mm","T","360.00","10k"
"R19","RES_0805","288.8mm","151.75mm","288.8mm","151.75mm","288.8mm","150.75mm","T","90.00","8k2"
"R20","RES_0805","306.5mm","227.7mm","306.5mm","227.7mm","305.5mm","227.7mm","T","360.00","1M"
