"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"FM2","333","281.65mm","339.9401mm","281.65mm","339.9401mm","281.65mm","339.9401mm","T","0.00","333"
"C45","CAP_0805","249.65mm","322.35mm","249.65mm","322.35mm","249.65mm","321.35mm","T","90.00","0.1uF"
"C44","CAP_0805","247.45mm","322.35mm","247.45mm","322.35mm","247.45mm","321.35mm","T","90.00","0.1uF"
"C43","CAP_0805","245.25mm","322.35mm","245.25mm","322.35mm","245.25mm","321.35mm","T","90.00","0.1uF"
"C23","CAP_0805","243.05mm","322.35mm","243.05mm","322.35mm","243.05mm","321.35mm","T","90.00","0.1uF"
"C15","CAP_0805","240.85mm","322.35mm","240.85mm","322.35mm","240.85mm","321.35mm","T","90.00","0.1uF"
"C3","CAP100RP","211.83mm","295.7mm","213.1mm","295.7mm","210.56mm","295.7mm","T","180.00","10uF 16V"
"R15","RES_0805","250.3mm","363.75mm","250.3mm","363.75mm","249.3mm","363.75mm","T","360.00","1k"
"R2","RES_0805","246.35mm","363.9mm","246.35mm","363.9mm","245.35mm","363.9mm","T","360.00","1k"
"R1","RES_0805","243.1mm","362.9mm","243.1mm","362.9mm","243.1mm","361.9mm","T","90.00","1k"
"D2","LQFP100","238.65mm","270.07mm","238.66mm","270.1mm","244.65mm","277.87mm","T","270.00","STM32F103V"
"D3","24LC512","219.5921mm","256.728mm","219.5421mm","256.723mm","223.2421mm","254.823mm","T","180.00","24LC512"
"C20","CAP_0603","246.45mm","261.45mm","246.45mm","261.45mm","246.45mm","262.25mm","T","270.00","0.1uF"
"C17","CAP_0603","228.9mm","357mm","228.9mm","357mm","228.9mm","357.8mm","T","270.00","8.2pF"
"L8","IND_0603_DOT","237.2mm","352mm","237.2mm","352mm","237.2mm","352.8mm","T","270.00","33nH"
"C14","CAP_0603","228.9mm","354.2mm","228.9mm","354.2mm","229.7mm","354.2mm","T","180.00","DNP"
"DA3","RF3608D","232.75mm","352.665mm","232.75mm","352.5mm","234.29mm","351.23mm","T","180.00","RF3608D"
"L2","IND_0603","226.7mm","353.5mm","226.7mm","353.5mm","226.7mm","352.7mm","T","90.00","5.6nH"
"C28","CAP_0603","235.7mm","352.75mm","235.7mm","352.75mm","235.7mm","353.55mm","T","270.00","DNP"
"C10","CAP_0603","240.7mm","344.6mm","240.7mm","344.6mm","240.7mm","343.8mm","T","90.00","47pF"
"C9","CAP_0603","242.2mm","344.6mm","242.2mm","344.6mm","242.2mm","343.8mm","T","90.00","0.1uF"
"C8","CAP_0603","235.6mm","357.1mm","235.6mm","357.1mm","234.8mm","357.1mm","T","360.00","1uF"
"L3","IND_0603_DOT","240.7mm","347.8mm","240.7mm","347.8mm","240.7mm","348.6mm","T","270.00","22nH"
"L4","IND_0603_DOT","242.2mm","347.8mm","242.2mm","347.8mm","242.2mm","347mm","T","90.00","22nH"
"L5","IND_0603","228.9mm","352.7mm","228.9mm","352.7mm","228.1mm","352.7mm","T","360.00","68nH"
"L7","IND_0603_DOT","235.7mm","349.85mm","235.7mm","349.85mm","235.7mm","349.05mm","T","90.00","33nH"
"L9","IND_0603","237.2mm","348.85mm","237.2mm","348.85mm","237.2mm","349.65mm","T","270.00","300ohm"
"ZQ1","HC-49S","236.71mm","283.8mm","236.71mm","283.8mm","234.27mm","283.8mm","T","360.00","8M"
"X1","USBB-1J","238.65mm","181.045mm","238.65mm","182.4mm","239.9mm","183.4mm","T","360.00","USB"
"VT1","Micro3","214.076mm","265.1mm","214.076mm","265.1mm","215.026mm","266.1mm","T","180.00","IRLML6402"
"VT3","SOT-23","227.9mm","191.05mm","227.9mm","191.05mm","228.9mm","190.1mm","T","90.00","BC847"
"VT2","SOT-23","223.6mm","190mm","223.6mm","190mm","222.6mm","190.95mm","T","270.00","BC847"
"U1","FH12-34_(FFC)","238.9mm","311.15mm","238.65mm","307.65mm","230.65mm","311.15mm","T","360.00","FH12_(FFC)"
"R3","RES_2W","209.2mm","268.0488mm","209.2mm","268.2mm","209.2mm","259mm","T","90.00","30"
"R22","RES_0603","249.2mm","280.3mm","249.2mm","280.3mm","250mm","280.3mm","T","180.00","1k"
"R4","RES_0805","214.1mm","268.45mm","214.1mm","268.45mm","213.1mm","268.45mm","T","360.00","18k"
"R30","RES_0805","223mm","180mm","223mm","180mm","223mm","179mm","T","90.00","21.5"
"R29","RES_0805","226.55mm","186.37mm","226.55mm","186.37mm","226.55mm","187.37mm","T","270.00","21.5"
"R28","RES_0805","223mm","184.45mm","223mm","184.45mm","223mm","185.45mm","T","270.00","1.5k"
"R27","RES_0805","232.1mm","196.3mm","232.1mm","196.3mm","233.1mm","196.3mm","T","180.00","1k"
"R26","RES_0805","232.07mm","191.37mm","232.07mm","191.37mm","232.07mm","190.37mm","T","90.00","36k"
"R25","RES_0805","228.3mm","196.3mm","228.3mm","196.3mm","227.3mm","196.3mm","T","360.00","47k"
"R24","RES_0805","235.42mm","189mm","235.42mm","189mm","236.42mm","189mm","T","180.00","10k"
"R23","RES_0805","235.42mm","192.05mm","235.42mm","192.05mm","234.42mm","192.05mm","T","360.00","22k"
"R21","RES_0805","238.52mm","190.55mm","238.52mm","190.55mm","238.52mm","191.55mm","T","270.00","15k"
"R20","RES_0805","258.45mm","322.35mm","258.45mm","322.35mm","258.45mm","321.35mm","T","90.00","3k"
"R19","RES_0805","256.25mm","322.35mm","256.25mm","322.35mm","256.25mm","321.35mm","T","90.00","3k"
"R18","RES_0805","254.05mm","322.35mm","254.05mm","322.35mm","254.05mm","321.35mm","T","90.00","3k"
"R14","RES_0805","251.85mm","322.35mm","251.85mm","322.35mm","251.85mm","321.35mm","T","90.00","3k"
"J3","IDC2M","211.93mm","288.95mm","213.2mm","288.95mm","213.2mm","288.95mm","T","270.00","IDC2M"
"J2","IDC2M","252.75mm","281.57mm","252.75mm","280.3mm","252.75mm","280.3mm","T","360.00","IDC2M"
"J1","IDC3M","247.34mm","249.1mm","244.8mm","249.1mm","244.8mm","249.1mm","T","90.00","IDC3M"
"D4","USBLC6-2","227.875mm","182.4mm","227.85mm","182.4mm","229.2mm","181.45mm","T","90.00","USBLC6-2"
"C34","CAP_0603","230.7999mm","277.95mm","230.7999mm","277.95mm","230mm","277.95mm","T","360.00","0.1uF"
"C25","CAP_0805","227.85mm","178.65mm","227.85mm","178.65mm","227.85mm","177.65mm","T","90.00","0.1uF"
"C24","CAP_0805","228.8mm","186.37mm","228.8mm","186.37mm","228.8mm","185.37mm","T","90.00","47pF"
"C22","CAP_0805","224.5mm","176.6mm","224.5mm","176.6mm","225.5mm","176.6mm","T","180.00","47pF"
"C21","CAP_0603","211.9mm","291.7mm","211.9mm","291.7mm","211.1mm","291.7mm","T","0.00","0.1uF"
"C33","CAP_0603","246.5mm","277.95mm","246.5mm","277.95mm","245.7mm","277.95mm","T","360.00","0.1uF"
